Protein ID,Compartment
AT5G61170,Ribosome
AT5G61310,Mitochondrion
AT5G61790,ER
AT5G62050,Mitochondrion
AT5G62300,Ribosome
AT5G62390,ER
AT5G62575,Mitochondrion
AT5G62740,PM
AT5G63510,Mitochondrion
AT5G64140,Ribosome
AT5G65000,ER
AT5G65220,Plastid
AT5G65720,Mitochondrion
AT5G65810,Golgi
AT5G66210,PM
AT5G66510,Mitochondrion
AT5G66760,Mitochondrion
AT5G67330,Vacuole
AT5G67500,Mitochondrion
AT5G67510,Ribosome
AT5G67590,Mitochondrion
ATCG00120,Plastid
ATCG00130,Plastid
ATCG00160,Plastid
ATCG00330,Plastid
ATCG00380,Plastid
ATCG00480,Plastid
ATCG00500,Plastid
ATCG00670,Plastid
ATCG00750,Plastid
ATCG00770,Plastid
ATCG00780,Plastid
ATCG00800,Plastid
ATCG00810,Plastid
ATCG00820,Plastid
ATCG01120,Plastid
ATCG01130,Plastid
ATCG01240,Plastid
ATCG01310,Plastid
ATMG00070,Mitochondrion
ATMG00080,Mitochondrion
ATMG00090,Mitochondrion
ATMG00160,Mitochondrion
ATMG00480,Mitochondrion
ATMG00510,Mitochondrion
ATMG00513,Mitochondrion
ATMG00560,Mitochondrion
ATMG00580,Mitochondrion
ATMG00640,Mitochondrion
ATMG00730,Mitochondrion
ATMG01170,Mitochondrion
ATMG01275,Mitochondrion
ATMG01360,Mitochondrion
